Evaluation,Model,Parameter,Accuracy
1,ANN,"learning_rate=decrease, model=2, neuron1=128, use_transfer_learning=True, use_svm=False, neuron2=100, layers=8",0.6451612771038086
1,ANN,"model=2, neuron1=128, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, layers=8",0.5483871002591425
1,ANN,"model=2, neuron1=128, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, layers=8",0.6088709659393756
1,ANN,"learning_rate=decrease, model=2, neuron1=128, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=128, layers=3, use_transfer_learning=True, neuron2=200, use_svm=False",0.6451612771038086
1,ANN,"model=2, neuron1=128, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr",0.6209677461414568
1,ANN,"model=2, neuron1=128, layers=3, use_transfer_learning=True, neuron2=200, learning_rate=clr, use_svm=False",0.5685483868564328
1,ANN,"learning_rate=decrease, model=2, neuron1=128, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=128, use_transfer_learning=True, layers=6, neuron2=200, use_svm=False",0.6451612771038086
1,ANN,"model=2, neuron1=128, use_transfer_learning=True, use_svm=True, layers=6, neuron2=200, learning_rate=clr",0.6653225695894611
1,ANN,"model=2, neuron1=128, use_transfer_learning=True, layers=6, neuron2=200, learning_rate=clr, use_svm=False",0.7540322635923663
1,ANN,"learning_rate=decrease, model=2, neuron1=128, use_transfer_learning=True, use_svm=True, neuron2=200, layers=8",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, neuron1=128, use_transfer_learning=True, use_svm=False, neuron2=200, layers=8",0.6451612771038086
1,ANN,"model=2, neuron1=128, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, layers=8",0.6572580514175277
1,ANN,"model=2, neuron1=128, use_transfer_learning=True, use_svm=False, neuron2=200, learning_rate=clr, layers=8",0.629032252536666
1,ANN,"learning_rate=decrease, model=2, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, layers=3, use_transfer_learning=True, neuron2=100, use_svm=False, neuron1=300",0.6451612771038086
1,ANN,"model=2, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, neuron1=300",0.7016129101957045
1,ANN,"model=2, layers=3, use_transfer_learning=True, neuron2=100, learning_rate=clr, use_svm=False, neuron1=300",0.5604838745728615
1,ANN,"learning_rate=decrease, model=2, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, use_transfer_learning=True, layers=6, neuron2=100, use_svm=False, neuron1=300",0.6451612771038086
1,ANN,"model=2, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, learning_rate=clr, neuron1=300",0.6572580690826139
1,ANN,"model=2, use_transfer_learning=True, layers=6, neuron2=100, learning_rate=clr, use_svm=False, neuron1=300",0.5483871061475046
1,ANN,"learning_rate=decrease, model=2, use_transfer_learning=True, use_svm=True, neuron2=100, layers=8, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, use_transfer_learning=True, use_svm=False, neuron2=100, layers=8, neuron1=300",0.6451612771038086
1,ANN,"model=2, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, layers=8, neuron1=300",0.6370967883736856
1,ANN,"model=2, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, layers=8, neuron1=300",0.49193548483233296
1,ANN,"learning_rate=decrease, model=2, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, neuron1=300",0.6451612771038086
1,ANN,"learning_rate=decrease, model=2, layers=3, use_transfer_learning=True, neuron2=200, use_svm=False, neuron1=300",0.6451612771038086
1,ANN,"model=2, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr, neuron1=300",0.6935483861354089
1,ANN,"model=2, layers=3, use_transfer_learning=True, neuron2=200, learning_rate=clr, use_svm=False, neuron1=300",0.6249999963948804
